Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?a   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b	0.989122553	0.989122553	0.989840348	24552	24822	24804	-1
?a  <http://purl.org/spar/cito/cites>  ?h  ?h  <http://purl.org/spar/fabio/hasDiscipline>  ?b   => ?a  <http://purl.org/spar/fabio/hasDiscipline>  ?b	0.1430018	0.121139916	0.12311716	2542	20984	20647	-1
?h  <http://purl.org/spar/cito/cites>  ?b  ?a  <http://purl.org/spar/cito/cites>  ?h   => ?a  <http://purl.org/spar/cito/cites>  ?b	0.196559198	0.129012181	0.129012181	1451	11247	11247	-1
?g  <http://purl.org/spar/cito/cites>  ?a  ?g  <https://makg.org/property/appearsInConferenceSeries>  ?b   => ?a  <https://makg.org/property/appearsInConferenceSeries>  ?b	0.282416045	0.309797902	0.363336334	1211	3909	3333	-1
?a  <http://purl.org/spar/cito/cites>  ?h  ?h  <https://makg.org/property/appearsInConferenceSeries>  ?b   => ?a  <https://makg.org/property/appearsInConferenceSeries>  ?b	0.328358209	0.326530612	0.381365114	1408	4312	3692	-1
?g  <http://purl.org/spar/cito/cites>  ?a  ?g  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b   => ?a  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b	0.149126024	1	1	2440	2440	2440	-1
?a  <http://purl.org/spar/cito/cites>  ?h  ?h  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b   => ?a  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b	0.171678279	1	1	2809	2809	2809	-1
?g  <http://purl.org/spar/cito/cites>  ?a  ?g  <http://purl.org/spar/fabio/hasDiscipline>  ?b   => ?a  <http://purl.org/spar/fabio/hasDiscipline>  ?b	0.120049505	0.102670195	0.104597588	2134	20785	20402	-1
?g  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?a  ?g  <http://www.w3.org/ns/org#memberOf>  ?b   => ?a  <http://www.w3.org/ns/org#memberOf>  ?b	0.672167566	0.3061136	0.407935285	4236	13838	10384	-1
?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h  ?h  <http://www.w3.org/ns/org#memberOf>  ?b   => ?a  <http://www.w3.org/ns/org#memberOf>  ?b	0.672484925	0.305661738	0.407460821	4238	13865	10401	-1
?b  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h  ?a  <http://purl.org/dc/terms/creator>  ?h   => ?a  <http://purl.org/dc/terms/creator>  ?b	0.918350783	0.217671502	0.218812245	11315	51982	51711	-2
?h  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b  ?a  <http://purl.org/dc/terms/creator>  ?h   => ?a  <http://purl.org/dc/terms/creator>  ?b	0.918269621	0.218118024	0.219259317	11314	51871	51601	-2
?g  <http://purl.org/dc/terms/creator>  ?a  ?g  <http://purl.org/dc/terms/creator>  ?b   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b	0.975143018	0.74451724	0.756122704	24205	32511	32012	-1
?h  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?a  ?b  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b	0.868745468	0.233898084	0.233948836	21564	92194	92174	-1
?h  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b  ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b	0.86858432	0.233854698	0.233854698	21560	92194	92194	-1
?g  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?a  ?g  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b   => ?a  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b	0.466141059	1	1	7627	7627	7627	-1
?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h  ?b  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b	0.868745468	0.233508035	0.233508035	21564	92348	92348	-1
?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h  ?h  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b   => ?a  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b	0.466446645	1	1	7632	7632	7632	-1
?g  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?a  ?g  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b	0.868423173	0.234088071	0.23418471	21556	92085	92047	-1
